"id","pergunta","resposta","categoria"
"17","Quando posso iniciar o TCC?","O início do TCC depende da matriz curricular e dos pré-requisitos do curso. Em geral, o estudante precisa ter cumprido uma carga horária mínima.","TCC"
"18","Como escolher orientador de TCC?","O orientador de TCC deve ser escolhido conforme a área do trabalho, disponibilidade docente e regras do colegiado. A formalização costuma ocorrer por formulário ou sistema.","TCC"
"19","Como cadastrar estágio obrigatório?","O estágio obrigatório deve ser cadastrado com plano de atividades, termo de compromisso e validação da coordenação ou setor responsável por estágios.","Estágio"
"20","Qual a diferença entre estágio obrigatório e não obrigatório?","O estágio obrigatório faz parte da matriz curricular e é requisito para integralização do curso. O estágio não obrigatório é atividade complementar supervisionada, mas não substitui componentes obrigatórios.","Estágio"
"21","Onde entrego documentos de estágio?","Os documentos de estágio devem ser enviados ao setor de estágios, coordenação do curso ou sistema indicado pela instituição.","Estágio"
"22","Como renovar empréstimo de livros?","A renovação de empréstimo de livros pode ser feita pelo sistema da biblioteca, desde que não haja reserva para o exemplar e o usuário não tenha pendências.","Biblioteca"
"23","O que acontece se eu atrasar a devolução de livro?","O atraso na devolução pode gerar suspensão temporária de empréstimos ou outras penalidades previstas no regulamento da biblioteca.","Biblioteca"
"24","Como acessar bases de dados da biblioteca?","O acesso às bases de dados pode ser feito pelo portal da biblioteca, rede institucional ou serviço de acesso remoto, quando disponível.","Biblioteca"
"25","Como participar de monitoria?","A participação em monitoria ocorre por edital. O estudante deve atender aos requisitos, realizar inscrição e acompanhar o resultado divulgado pelo departamento ou colegiado.","Monitoria"
"26","Monitoria conta como atividade complementar?","A monitoria pode contar como atividade complementar se estiver prevista no regulamento do curso e for devidamente comprovada.","Monitoria"
"27","Onde vejo editais de monitoria?","Os editais de monitoria são divulgados nos canais oficiais da instituição, departamentos, colegiados ou páginas do curso.","Monitoria"
"28","Onde consultar o calendário acadêmico?","O calendário acadêmico fica disponível no site institucional e informa prazos de matrícula, ajuste, trancamento, avaliações e encerramento do semestre.","Calendário"
"29","Quando começam as aulas?","A data de início das aulas é definida no calendário acadêmico do semestre e pode variar por curso ou campus em situações específicas.","Calendário"
"30","Como saber o período de provas finais?","O período de provas finais é informado no calendário acadêmico e também pode ser detalhado no plano de ensino de cada disciplina.","Calendário"
"31","Esqueci minha senha do sistema acadêmico. O que fazer?","A recuperação de senha deve ser feita na página de login do sistema acadêmico. Se o problema continuar, o estudante deve procurar o suporte institucional.","Sistema acadêmico"
"32","Como atualizar meus dados cadastrais?","A atualização de dados cadastrais pode ser feita no sistema acadêmico ou mediante solicitação à secretaria, conforme o tipo de informação a ser alterada.","Sistema acadêmico"
"33","O sistema acadêmico está fora do ar. Como proceder?","Se o sistema acadêmico estiver fora do ar, aguarde nova tentativa e consulte os canais oficiais. Para prazos urgentes, registre contato com a secretaria ou suporte.","Sistema acadêmico"
"34","Como solicitar declaração de vínculo?","A declaração de vínculo pode ser emitida pelo sistema acadêmico ou solicitada à secretaria, dependendo da disponibilidade do serviço online.","Documentos"
"35","Como pedir segunda chamada de prova?","A segunda chamada de prova deve ser solicitada dentro do prazo definido pela instituição, com justificativa e documentos comprobatórios quando exigidos.","Avaliações"
"36","Como funciona a frequência mínima nas disciplinas?","A frequência mínima normalmente é de 75 por cento da carga horária da disciplina, salvo regras específicas previstas no regulamento acadêmico.","Avaliações"
"37","Como registrar atividades complementares?","As atividades complementares devem ser registradas conforme o regulamento do curso, com certificados e documentos comprobatórios analisados pelo colegiado.","Atividades complementares"
"38","Quais atividades valem como complementares?","Palestras, cursos, monitorias, projetos, eventos e publicações podem valer como atividades complementares, desde que aceitas pelo regulamento do curso.","Atividades complementares"
"39","Como solicitar colação de grau?","A colação de grau deve ser solicitada conforme orientação da secretaria ou colegiado, após o cumprimento de todos os requisitos curriculares.","Colação de grau"
"40","O que é integralização curricular?","Integralização curricular é o cumprimento de todos os componentes exigidos pelo curso, incluindo disciplinas, estágio, TCC e atividades complementares quando previstos.","Colação de grau"

